cohort,matrix,scale,model,linkage,K,silhouette,CH,DB,stability_ari_mean,stability_ari_sd,stability_source,min_cluster_prop,max_cluster_prop,max_min_ratio,small_cluster_flag,degeneracy_note
A,A_LOG,Log1p,Hierarchical,Complete,3,0.39052,49.25,1.5026,,,excluded — degenerate outlier-peeling,0.0007,0.9929,1483.33,True,DEGENERATE: outlier-peeling — high silhouette is artifact
A,A_LOG,Log1p,Hierarchical,Complete,4,0.13481,56.2,2.7919,,,excluded — degenerate outlier-peeling,0.0007,0.936,1398.33,True,DEGENERATE: outlier-peeling — high silhouette is artifact
A,A_LOG,Log1p,Hierarchical,Complete,5,0.10651,62.14,2.8266,,,excluded — degenerate outlier-peeling,0.0007,0.9014,1346.67,True,DEGENERATE: outlier-peeling — high silhouette is artifact
A,A_LOG,Log1p,Hierarchical,Complete,6,0.1064,51.16,2.3685,,,excluded — degenerate outlier-peeling,0.0002,0.9014,4040.0,True,DEGENERATE: outlier-peeling — high silhouette is artifact
A,A_LOG,Log1p,Hierarchical,Complete,7,0.09899,46.89,2.7074,,,excluded — degenerate outlier-peeling,0.0002,0.8806,3947.0,True,DEGENERATE: outlier-peeling — high silhouette is artifact
A,A_LOG,Log1p,Hierarchical,Average,2,0.56314,8.96,0.322,,,excluded — degenerate outlier-peeling,0.0002,0.9998,4481.0,True,DEGENERATE: outlier-peeling — high ARI is artifact
A,A_LOG,Log1p,Hierarchical,Average,3,0.53042,45.68,0.8016,,,excluded — degenerate outlier-peeling,0.0002,0.9967,4467.0,True,DEGENERATE: outlier-peeling — high ARI is artifact
A,A_LOG,Log1p,Hierarchical,Average,4,0.5136,32.4,1.0213,,,excluded — degenerate outlier-peeling,0.0002,0.9967,4467.0,True,DEGENERATE: outlier-peeling — high ARI is artifact
A,A_LOG,Log1p,Hierarchical,Average,5,0.43718,25.62,0.94,,,excluded — degenerate outlier-peeling,0.0002,0.9964,4466.0,True,DEGENERATE: outlier-peeling — high ARI is artifact
A,A_LOG,Log1p,Hierarchical,Average,6,0.43626,21.32,0.8472,,,excluded — degenerate outlier-peeling,0.0002,0.9964,4466.0,True,DEGENERATE: outlier-peeling — high ARI is artifact
A,A_LOG,Log1p,Hierarchical,Average,7,0.43357,18.4,0.7763,,,excluded — degenerate outlier-peeling,0.0002,0.9964,4466.0,True,DEGENERATE: outlier-peeling — high ARI is artifact
B,B_RAW,Raw,K-Means,NA,2,0.11347,118.05,2.7404,0.7555,0.3373,"kmeans_stability (B=200, 80% subsample, ARI)",0.4271,0.5729,1.34,False,
B,B_RAW,Raw,K-Means,NA,3,0.09704,107.58,2.4215,0.877,0.1197,"kmeans_stability (B=200, 80% subsample, ARI)",0.2699,0.3775,1.4,False,
