SEQN,ward_K2,ward_K3,ward_K4,ward_K5,ward_K6,ward_K7,complete_K2,complete_K3,complete_K4,complete_K5,complete_K6,complete_K7,average_K2,average_K3,average_K4,average_K5,average_K6,average_K7
98099.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
98100.0,1,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0
98102.0,0,1,1,0,5,5,0,0,1,0,0,2,0,0,0,0,0,0
98103.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
98113.0,1,0,3,1,0,2,0,0,1,0,0,2,0,0,0,0,0,0
98135.0,1,0,3,1,0,2,0,0,1,0,0,2,0,0,0,0,0,0
98138.0,1,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0
98144.0,0,1,1,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0
98148.0,0,1,1,0,3,3,0,0,1,0,0,2,0,0,0,0,0,0
98156.0,1,0,3,1,0,2,0,0,1,0,0,2,0,0,0,0,0,0
98161.0,1,0,3,1,0,6,0,0,1,0,0,2,0,0,0,0,0,0
98168.0,0,1,1,0,5,5,0,0,1,0,0,2,0,0,0,0,0,0
98208.0,0,2,2,2,2,0,0,0,1,0,0,2,0,0,0,0,0,0
98225.0,1,0,0,3,1,1,0,0,0,1,1,1,0,0,0,0,0,0
98238.0,0,1,1,0,3,3,0,0,1,0,0,2,0,0,0,0,0,0
98241.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
98243.0,1,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0
98256.0,0,1,1,0,5,5,0,0,1,0,0,2,0,0,0,0,0,0
98262.0,0,2,2,2,2,0,0,0,1,0,0,2,0,0,0,0,0,0
98271.0,1,0,0,3,1,1,0,0,1,0,0,2,0,0,0,0,0,0
98280.0,0,1,1,0,5,5,0,0,1,0,0,2,0,0,0,0,0,0
98293.0,1,0,0,3,1,1,0,0,1,0,0,2,0,0,0,0,0,0
98300.0,1,0,3,1,0,6,0,0,1,0,0,2,0,0,0,0,0,0
98314.0,1,0,0,3,1,1,0,0,1,0,0,2,0,0,0,0,0,0
98343.0,0,1,1,0,3,3,0,0,1,0,0,2,0,0,0,0,0,0
98350.0,0,1,1,0,5,5,0,0,1,0,0,2,0,0,0,0,0,0
98354.0,1,0,3,1,0,6,0,0,1,0,0,2,0,0,0,0,0,0
98374.0,0,1,1,0,3,3,0,0,1,0,0,2,0,0,0,0,0,0
98381.0,1,0,0,3,1,1,0,0,1,0,0,2,0,0,0,0,0,0
98416.0,0,1,1,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0
98420.0,0,1,1,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0
98426.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
98437.0,0,1,1,0,3,3,0,0,1,0,0,2,0,0,0,0,0,0
98444.0,0,1,1,0,5,5,0,0,1,0,0,2,0,0,0,0,0,0
98474.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
98475.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
98483.0,0,1,1,0,3,3,0,0,1,0,0,2,0,0,0,0,0,0
98485.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
98494.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
